"filename", "language", "HTML", "PHP", "JSON", "Markdown", "reStructuredText", "JavaScript", "CSS", "XML", "YAML", "Makefile", "Docker", "comment", "blank", "total"
"c:\wamp\www\complaint\application\libraries\google\README.md", "Markdown", 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 135, 478
"c:\wamp\www\complaint\application\libraries\google\SECURITY.md", "Markdown", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"c:\wamp\www\complaint\application\libraries\google\UPGRADING.md", "Markdown", 0, 0, 0, 291, 0, 0, 0, 0, 0, 0, 0, 0, 87, 378
"c:\wamp\www\complaint\application\libraries\google\composer.json", "JSON", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\wamp\www\complaint\application\libraries\google\src\AccessToken\Revoke.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 11, 82
"c:\wamp\www\complaint\application\libraries\google\src\AccessToken\Verify.php", "PHP", 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 48, 321
"c:\wamp\www\complaint\application\libraries\google\src\AuthHandler\AuthHandlerFactory.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 5, 53
"c:\wamp\www\complaint\application\libraries\google\src\AuthHandler\Guzzle5AuthHandler.php", "PHP", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 109
"c:\wamp\www\complaint\application\libraries\google\src\AuthHandler\Guzzle6AuthHandler.php", "PHP", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 116
"c:\wamp\www\complaint\application\libraries\google\src\AuthHandler\Guzzle7AuthHandler.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 3, 26
"c:\wamp\www\complaint\application\libraries\google\src\Client.php", "PHP", 0, 723, 0, 0, 0, 0, 0, 0, 0, 0, 0, 428, 145, 1296
"c:\wamp\www\complaint\application\libraries\google\src\Collection.php", "PHP", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 122
"c:\wamp\www\complaint\application\libraries\google\src\Exception.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 25
"c:\wamp\www\complaint\application\libraries\google\src\Http\Batch.php", "PHP", 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 41, 257
"c:\wamp\www\complaint\application\libraries\google\src\Http\MediaFileUpload.php", "PHP", 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 54, 354
"c:\wamp\www\complaint\application\libraries\google\src\Http\REST.php", "PHP", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 26, 199
"c:\wamp\www\complaint\application\libraries\google\src\Model.php", "PHP", 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 30, 333
"c:\wamp\www\complaint\application\libraries\google\src\Service.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 73
"c:\wamp\www\complaint\application\libraries\google\src\Service\Exception.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 7, 72
"c:\wamp\www\complaint\application\libraries\google\src\Service\README.md", "Markdown", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\wamp\www\complaint\application\libraries\google\src\Service\Resource.php", "PHP", 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 34, 309
"c:\wamp\www\complaint\application\libraries\google\src\Task\Composer.php", "PHP", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 114
"c:\wamp\www\complaint\application\libraries\google\src\Task\Exception.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 25
"c:\wamp\www\complaint\application\libraries\google\src\Task\Retryable.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 3, 27
"c:\wamp\www\complaint\application\libraries\google\src\Task\Runner.php", "PHP", 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 41, 294
"c:\wamp\www\complaint\application\libraries\google\src\Utils\UriTemplate.php", "PHP", 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 23, 335
"c:\wamp\www\complaint\application\libraries\google\src\aliases.php", "PHP", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 107
"c:\wamp\www\complaint\application\libraries\google\vendor\autoload.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 8
"c:\wamp\www\complaint\application\libraries\google\vendor\composer\ClassLoader.php", "PHP", 0, 276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 240, 57, 573
"c:\wamp\www\complaint\application\libraries\google\vendor\composer\InstalledVersions.php", "PHP", 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 48, 351
"c:\wamp\www\complaint\application\libraries\google\vendor\composer\autoload_classmap.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 40
"c:\wamp\www\complaint\application\libraries\google\vendor\composer\autoload_files.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"c:\wamp\www\complaint\application\libraries\google\vendor\composer\autoload_namespaces.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10
"c:\wamp\www\complaint\application\libraries\google\vendor\composer\autoload_psr4.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 27
"c:\wamp\www\complaint\application\libraries\google\vendor\composer\autoload_real.php", "PHP", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 81
"c:\wamp\www\complaint\application\libraries\google\vendor\composer\autoload_static.php", "PHP", 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 176
